id,x,y,width,height,filename
226,1709,1035,62,58,region_000226.jpg
227,128,1040,59,18,region_000227.jpg
228,1914,1040,61,122,region_000228.jpg
229,1470,1046,35,20,region_000229.jpg
230,207,1048,55,71,region_000230.jpg
231,1284,1048,38,99,region_000231.jpg
232,122,1050,65,92,region_000232.jpg
233,1625,1051,49,31,region_000233.jpg
234,105,1057,21,64,region_000234.jpg
235,1027,1067,14,39,region_000235.jpg
236,292,1072,52,19,region_000236.jpg
237,360,1075,25,32,region_000237.jpg
238,942,1088,52,26,region_000238.jpg
239,1972,1090,75,118,region_000239.jpg
240,869,1091,210,79,region_000240.jpg
241,0,1092,100,111,region_000241.jpg
242,1086,1092,34,38,region_000242.jpg
243,1161,1093,32,38,region_000243.jpg
244,1385,1093,38,81,region_000244.jpg
245,1881,1093,29,50,region_000245.jpg
246,1729,1094,22,47,region_000246.jpg
247,1020,1100,31,25,region_000247.jpg
248,109,1105,24,48,region_000248.jpg
249,1820,1105,35,30,region_000249.jpg
250,1203,1109,51,38,region_000250.jpg
251,1696,1111,82,121,region_000251.jpg
252,1254,1114,31,32,region_000252.jpg
253,1491,1114,62,39,region_000253.jpg
254,1583,1114,79,48,region_000254.jpg
255,261,1118,44,43,region_000255.jpg
256,1034,1118,26,30,region_000256.jpg
257,1909,1118,30,23,region_000257.jpg
258,591,1119,42,80,region_000258.jpg
259,1477,1140,115,95,region_000259.jpg
260,843,1142,41,49,region_000260.jpg
261,1306,1143,15,53,region_000261.jpg
262,829,1148,30,32,region_000262.jpg
263,129,1149,29,50,region_000263.jpg
264,445,1150,20,71,region_000264.jpg
265,1840,1155,51,54,region_000265.jpg
266,66,1157,56,65,region_000266.jpg
267,1066,1157,168,71,region_000267.jpg
268,262,1158,87,56,region_000268.jpg
269,687,1162,25,23,region_000269.jpg
270,664,1169,26,39,region_000270.jpg
271,1394,1171,34,74,region_000271.jpg
272,720,1172,38,30,region_000272.jpg
273,1551,1172,92,40,region_000273.jpg
274,159,1179,29,20,region_000274.jpg
275,760,1179,64,20,region_000275.jpg
276,352,1190,104,136,region_000276.jpg
277,715,1190,25,17,region_000277.jpg
278,0,1199,37,46,region_000278.jpg
279,457,1199,85,64,region_000279.jpg
280,1771,1204,73,30,region_000280.jpg
281,1221,1209,146,65,region_000281.jpg
282,705,1211,34,30,region_000282.jpg
283,1973,1212,44,67,region_000283.jpg
284,754,1216,259,77,region_000284.jpg
285,2028,1216,19,27,region_000285.jpg
286,1654,1219,46,47,region_000286.jpg
287,1967,1219,18,29,region_000287.jpg
288,559,1236,94,41,region_000288.jpg
289,34,1237,39,29,region_000289.jpg
290,1880,1237,69,21,region_000290.jpg
291,709,1240,43,27,region_000291.jpg
292,1346,1243,56,23,region_000292.jpg
293,314,1244,69,31,region_000293.jpg
294,534,1249,36,20,region_000294.jpg
295,942,1250,301,29,region_000295.jpg
296,287,1254,74,17,region_000296.jpg
297,322,1266,48,30,region_000297.jpg
298,1713,1266,31,39,region_000298.jpg
299,168,1273,55,21,region_000299.jpg
300,258,1294,100,11,region_000300.jpg
301,1942,1297,58,20,region_000301.jpg
302,1411,1301,44,22,region_000302.jpg
303,1714,1304,44,39,region_000303.jpg
304,352,1312,57,18,region_000304.jpg
305,173,1315,253,39,region_000305.jpg
306,831,1317,28,18,region_000306.jpg
307,1915,1317,44,11,region_000307.jpg
308,182,1322,20,17,region_000308.jpg
309,308,1324,129,23,region_000309.jpg
310,1834,1324,89,2,region_000310.jpg
311,1758,1325,127,6,region_000311.jpg
312,154,1328,30,24,region_000312.jpg
313,998,848,44,12,region_000313.jpg
314,0,1092,100,153,region_000314.jpg
315,728,721,197,186,region_000315.jpg
316,664,1162,48,46,region_000316.jpg
317,659,1162,53,46,region_000317.jpg
318,688,1208,51,33,region_000318.jpg
319,687,1006,82,123,region_000319.jpg
320,1812,930,176,168,region_000320.jpg
321,1349,585,179,151,region_000321.jpg
322,1037,848,84,12,region_000322.jpg
323,1812,930,235,278,region_000323.jpg
324,659,1162,53,47,region_000324.jpg
325,1320,585,208,200,region_000325.jpg
326,1037,848,134,14,region_000326.jpg
327,1037,848,164,21,region_000327.jpg
328,715,1172,43,35,region_000328.jpg
329,1909,1040,66,122,region_000329.jpg
330,1881,1040,94,122,region_000330.jpg
331,1201,585,327,336,region_000331.jpg
332,979,947,80,98,region_000332.jpg
333,1750,642,166,206,region_000333.jpg
334,698,1240,54,27,region_000334.jpg
335,1419,485,18,35,region_000335.jpg
336,728,694,494,213,region_000336.jpg
337,534,1236,119,41,region_000337.jpg
338,591,1119,44,80,region_000338.jpg
339,170,863,94,88,region_000339.jpg
340,1394,1171,34,76,region_000340.jpg
341,1160,585,368,395,region_000341.jpg
342,591,1119,46,80,region_000342.jpg
343,649,1162,63,47,region_000343.jpg
344,1441,560,30,29,region_000344.jpg
345,1911,597,52,25,region_000345.jpg
346,1363,386,600,393,region_000346.jpg
347,1728,642,188,206,region_000347.jpg
348,1483,530,54,68,region_000348.jpg
349,931,835,111,95,region_000349.jpg
350,1284,1048,38,148,region_000350.jpg
351,754,1216,489,77,region_000351.jpg
352,754,1209,613,84,region_000352.jpg
353,1881,1025,94,137,region_000353.jpg
354,1840,538,207,99,region_000354.jpg
355,688,1208,64,59,region_000355.jpg
356,357,1003,64,151,region_000356.jpg
357,728,694,494,236,region_000357.jpg
358,925,1088,69,26,region_000358.jpg
359,0,1092,100,174,region_000359.jpg
360,1355,821,113,92,region_000360.jpg
361,940,947,119,98,region_000361.jpg
362,754,1209,648,84,region_000362.jpg
363,1439,798,43,32,region_000363.jpg
364,728,585,800,395,region_000364.jpg
365,1385,1093,43,154,region_000365.jpg
366,1073,898,300,298,region_000366.jpg
367,715,1159,43,48,region_000367.jpg
368,768,480,200,288,region_000368.jpg
369,1020,1100,40,48,region_000369.jpg
370,1676,381,70,112,region_000370.jpg
371,1379,547,38,46,region_000371.jpg
372,1113,895,46,40,region_000372.jpg
373,1113,895,46,45,region_000373.jpg
374,450,816,35,161,region_000374.jpg
375,475,774,127,108,region_000375.jpg
376,1758,1324,165,7,region_000376.jpg
377,173,1315,255,39,region_000377.jpg
378,1940,774,17,32,region_000378.jpg
379,687,1006,82,132,region_000379.jpg
380,303,287,341,256,region_000380.jpg
381,1676,381,70,125,region_000381.jpg
382,1840,1155,62,54,region_000382.jpg
383,584,805,73,93,region_000383.jpg
384,25,990,42,121,region_000384.jpg
385,154,1315,274,39,region_000385.jpg
386,753,1209,649,84,region_000386.jpg
387,2028,1216,19,31,region_000387.jpg
388,1420,871,286,109,region_000388.jpg
389,1073,891,300,305,region_000389.jpg
390,1816,563,48,59,region_000390.jpg
391,753,937,650,356,region_000391.jpg
392,338,1013,46,55,region_000392.jpg
393,1615,893,197,160,region_000393.jpg
394,0,863,476,491,region_000394.jpg
395,1615,893,204,160,region_000395.jpg
396,963,693,34,33,region_000396.jpg
397,189,1301,27,26,region_000397.jpg
398,475,774,182,124,region_000398.jpg
399,364,347,22,94,region_000399.jpg
400,1088,1177,26,25,region_000400.jpg
401,287,1244,96,31,region_000401.jpg
402,672,942,123,70,region_000402.jpg
403,1054,67,96,109,region_000403.jpg
404,672,942,123,74,region_000404.jpg
405,687,1006,86,132,region_000405.jpg
406,23,990,44,145,region_000406.jpg
407,869,891,504,305,region_000407.jpg
408,869,891,504,337,region_000408.jpg
409,728,585,800,643,region_000409.jpg
410,475,774,280,167,region_000410.jpg
411,475,774,280,188,region_000411.jpg
412,1355,960,77,287,region_000412.jpg
413,728,585,800,662,region_000413.jpg
414,742,480,226,304,region_000414.jpg
415,609,480,359,305,region_000415.jpg
416,649,1156,63,53,region_000416.jpg
417,796,720,103,132,region_000417.jpg
418,600,470,49,54,region_000418.jpg
419,672,942,123,196,region_000419.jpg
420,991,313,82,97,region_000420.jpg
421,303,284,341,259,region_000421.jpg
422,926,538,77,38,region_000422.jpg
423,896,776,27,114,region_000423.jpg
424,105,1050,82,92,region_000424.jpg
425,1573,519,34,51,region_000425.jpg
426,23,974,68,161,region_000426.jpg
427,1881,1025,104,137,region_000427.jpg
428,475,585,1053,662,region_000428.jpg
429,1363,386,600,401,region_000429.jpg
430,1477,1140,166,95,region_000430.jpg
431,0,863,480,491,region_000431.jpg
432,1615,893,204,169,region_000432.jpg
433,457,1199,196,78,region_000433.jpg
434,581,1119,56,80,region_000434.jpg
435,1045,79,104,198,region_000435.jpg
436,803,907,102,95,region_000436.jpg
437,803,878,102,124,region_000437.jpg
438,1713,1266,45,77,region_000438.jpg
439,822,66,222,294,region_000439.jpg
440,96,1050,91,92,region_000440.jpg
441,885,57,312,351,region_000441.jpg
442,1125,379,838,408,region_000442.jpg
443,2024,1216,23,41,region_000443.jpg
444,1840,538,207,107,region_000444.jpg
445,0,0,257,236,region_000445.jpg
446,1037,848,199,24,region_000446.jpg
447,609,480,359,372,region_000447.jpg
448,609,480,359,399,region_000448.jpg
449,1654,1111,124,155,region_000449.jpg
450,514,866,101,158,region_000450.jpg
451,1728,642,190,206,region_000451.jpg
452,1812,930,235,284,region_000452.jpg
453,1121,372,64,106,region_000453.jpg
454,457,1199,198,78,region_000454.jpg
455,829,1142,55,49,region_000455.jpg
456,1573,600,72,44,region_000456.jpg
457,1491,379,217,173,region_000457.jpg
458,609,480,388,399,region_000458.jpg
459,1420,871,399,191,region_000459.jpg
460,0,854,2047,500,region_000460.jpg
461,1379,547,54,46,region_000461.jpg
462,1745,637,20,33,region_000462.jpg
463,1509,601,28,40,region_000463.jpg
464,308,1282,130,65,region_000464.jpg
465,73,926,30,44,region_000465.jpg
466,1439,798,52,32,region_000466.jpg
467,445,1150,20,74,region_000467.jpg
468,299,284,345,259,region_000468.jpg
469,1278,604,71,89,region_000469.jpg
470,1248,604,101,89,region_000470.jpg
471,1045,67,105,210,region_000471.jpg
472,1045,67,109,210,region_000472.jpg
473,454,585,1074,676,region_000473.jpg
474,392,880,53,113,region_000474.jpg
475,885,57,312,386,region_000475.jpg
476,838,225,34,36,region_000476.jpg
477,182,1322,27,17,region_000477.jpg
478,247,874,126,53,region_000478.jpg
479,1439,798,52,35,region_000479.jpg
480,1769,1204,75,30,region_000480.jpg
481,0,230,672,194,region_000481.jpg
482,1654,1111,190,155,region_000482.jpg
483,247,874,171,62,region_000483.jpg
484,247,874,173,65,region_000484.jpg
485,649,1156,67,53,region_000485.jpg
486,262,1158,88,56,region_000486.jpg
487,905,644,244,180,region_000487.jpg
488,1758,1317,201,14,region_000488.jpg
489,486,515,68,41,region_000489.jpg
490,533,709,318,141,region_000490.jpg
491,518,709,333,141,region_000491.jpg
492,1542,708,64,39,region_000492.jpg
493,1840,1140,62,69,region_000493.jpg
494,1840,1025,145,184,region_000494.jpg
495,793,1004,92,52,region_000495.jpg
496,88,1105,45,48,region_000496.jpg
497,88,1050,99,103,region_000497.jpg
498,454,585,1074,685,region_000498.jpg
499,1801,910,246,304,region_000499.jpg
500,1411,1301,44,24,region_000500.jpg
501,822,57,375,386,region_000501.jpg
502,728,57,469,480,region_000502.jpg
